image_size,serial_duration,cuda_128_duration,cuda_256_duration,cuda_512_duration
100,0.0001243,0.0004858,0.0005469,0.0005156
200,0.0003558,0.0006212,0.0006387,0.0005894
500,0.0021088,0.0018057,0.0017576,0.0017729
1000,0.0080467,0.0041568,0.0041903,0.0043490
2000,0.0303346,0.0109333,0.0111457,0.0117655
5000,0.1486310,0.0500538,0.0504295,0.0521854
10000,0.4425160,0.1686590,0.1733360,0.1715810
19200,1.3179700,0.5238340,0.5460860,0.5341110
