image_size,serial_duration,cuda_128_duration,cuda_256_duration,cuda_512_duration
100,0.0000292,0.0004582,0.0004307,0.0004444
200,0.0001208,0.0005091,0.0004443,0.0005083
500,0.0007317,0.0007395,0.0007181,0.0007343
1000,0.0026664,0.0019507,0.0020426,0.0018868
2000,0.0104728,0.0048441,0.0046908,0.0044017
5000,0.0617610,0.0246306,0.0232551,0.0222839
10000,0.2463220,0.0922996,0.0887228,0.0817215
19200,0.9076070,0.3522340,0.3424130,0.3233510
