image_size,serial_duration,cuda_128_duration,cuda_256_duration,cuda_512_duration
100,0.0000415,0.0005053,0.0004876,0.0004815
200,0.0001657,0.0005788,0.0005766,0.0005406
500,0.0011117,0.0013131,0.0013255,0.0013171
1000,0.0043808,0.0037446,0.0041529,0.0038491
2000,0.0178708,0.0091241,0.0095850,0.0090715
5000,0.1148080,0.0433169,0.0441025,0.0435084
10000,0.3969170,0.1500570,0.1530800,0.1508760
19200,1.3805800,0.5028130,0.5028250,0.4995390
